2012/12/20 08:11:10 INFO  - jmeter.util.JMeterUtils: Setting Locale to en_GB 
2012/12/20 08:11:11 INFO  - jmeter.JMeter: Loading user properties from: C:\Downloads\apache-jmeter-2.8\bin\user.properties 
2012/12/20 08:11:11 INFO  - jmeter.JMeter: Loading system properties from: C:\Downloads\apache-jmeter-2.8\bin\system.properties 
2012/12/20 08:11:11 INFO  - jmeter.JMeter: Copyright (c) 1998-2012 The Apache Software Foundation 
2012/12/20 08:11:11 INFO  - jmeter.JMeter: Version 2.8 r1393162 
2012/12/20 08:11:11 INFO  - jmeter.JMeter: java.version=1.6.0_24 
2012/12/20 08:11:11 INFO  - jmeter.JMeter: java.vm.name=Java HotSpot(TM) Client VM 
2012/12/20 08:11:11 INFO  - jmeter.JMeter: os.name=Windows XP 
2012/12/20 08:11:11 INFO  - jmeter.JMeter: os.arch=x86 
2012/12/20 08:11:11 INFO  - jmeter.JMeter: os.version=5.1 
2012/12/20 08:11:11 INFO  - jmeter.JMeter: file.encoding=Cp1252 
2012/12/20 08:11:11 INFO  - jmeter.JMeter: Default Locale=English (United Kingdom) 
2012/12/20 08:11:11 INFO  - jmeter.JMeter: JMeter  Locale=English (United Kingdom) 
2012/12/20 08:11:11 INFO  - jmeter.JMeter: JMeterHome=C:\Downloads\apache-jmeter-2.8 
2012/12/20 08:11:11 INFO  - jmeter.JMeter: user.dir  =C:\Downloads\apache-jmeter-2.8\bin 
2012/12/20 08:11:11 INFO  - jmeter.JMeter: PWD       =C:\Downloads\apache-jmeter-2.8\bin 
2012/12/20 08:11:11 INFO  - jmeter.JMeter: Loaded icon properties from org/apache/jmeter/images/icon.properties 
2012/12/20 08:11:12 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must contain the string: '.functions.' 
2012/12/20 08:11:12 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must not contain the string: '.gui.' 
2012/12/20 08:11:12 INFO  - jmeter.gui.action.LookAndFeelCommand: Using look and feel: javax.swing.plaf.metal.MetalLookAndFeel [Metal, CrossPlatform] 
2012/12/20 08:11:13 INFO  - jmeter.util.BSFTestElement: Registering JMeter version of JavaScript engine as work-round for BSF-22 
2012/12/20 08:11:13 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Cannot find .className property for htmlParser, using default 
2012/12/20 08:11:13 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/html is  
2012/12/20 08:11:13 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xhtml+xml is  
2012/12/20 08:11:13 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xml is  
2012/12/20 08:11:13 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/xml is  
2012/12/20 08:11:13 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/vnd.wap.wml is org.apache.jmeter.protocol.http.parser.RegexpHTMLParser 
2012/12/20 08:11:13 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Reuse SSL session context on subsequent iterations: true 
2012/12/20 08:11:13 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.protocol.http.modifier.gui.ParamModifierGui 
2012/12/20 08:11:15 INFO  - jmeter.samplers.SampleResult: Note: Sample TimeStamps are START times 
2012/12/20 08:11:15 INFO  - jmeter.samplers.SampleResult: sampleresult.default.encoding is set to ISO-8859-1 
2012/12/20 08:11:15 INFO  - jmeter.samplers.SampleResult: sampleresult.useNanoTime=true 
2012/12/20 08:11:15 INFO  - jmeter.samplers.SampleResult: sampleresult.nanoThreadSleep=5000 
2012/12/20 08:12:01 INFO  - jmeter.engine.StandardJMeterEngine: Listeners will be started after enabling running version 
2012/12/20 08:12:01 INFO  - jmeter.engine.StandardJMeterEngine: To revert to the earlier behaviour, define jmeterengine.startlistenerslater=false 
2012/12/20 08:12:01 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2012/12/20 08:12:01 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2012/12/20 08:12:01 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : Thread Group 
2012/12/20 08:12:01 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group Thread Group. 
2012/12/20 08:12:01 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2012/12/20 08:12:01 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2012/12/20 08:12:01 INFO  - jmeter.threads.JMeterThread: jmeterthread.startearlier=true (see jmeter.properties) 
2012/12/20 08:12:01 INFO  - jmeter.threads.JMeterThread: Running PostProcessors in forward order 
2012/12/20 08:12:01 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2012/12/20 08:12:01 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2012/12/20 08:12:01 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-1 
2012/12/20 08:12:02 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-1 
2012/12/20 08:12:02 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2012/12/20 08:12:02 INFO  - jmeter.services.FileServer: Default base='C:\Downloads\apache-jmeter-2.8\bin' 
2012/12/20 08:12:02 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
2012/12/20 08:13:29 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2012/12/20 08:13:29 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2012/12/20 08:13:29 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : Thread Group 
2012/12/20 08:13:29 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group Thread Group. 
2012/12/20 08:13:29 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2012/12/20 08:13:29 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2012/12/20 08:13:29 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2012/12/20 08:13:29 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2012/12/20 08:13:29 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-1 
2012/12/20 08:13:30 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-1 
2012/12/20 08:13:30 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2012/12/20 08:13:30 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
2012/12/20 08:13:42 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2012/12/20 08:13:42 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2012/12/20 08:13:42 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : Thread Group 
2012/12/20 08:13:42 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group Thread Group. 
2012/12/20 08:13:42 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2012/12/20 08:13:42 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2012/12/20 08:13:42 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2012/12/20 08:13:42 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2012/12/20 08:13:42 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-1 
2012/12/20 08:13:43 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-1 
2012/12/20 08:13:43 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2012/12/20 08:13:43 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
2012/12/20 08:14:33 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2012/12/20 08:14:33 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2012/12/20 08:14:33 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : Thread Group 
2012/12/20 08:14:33 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group Thread Group. 
2012/12/20 08:14:33 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2012/12/20 08:14:33 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2012/12/20 08:14:33 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2012/12/20 08:14:33 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2012/12/20 08:14:33 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-1 
2012/12/20 08:14:33 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-1 
2012/12/20 08:14:33 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2012/12/20 08:14:33 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
2012/12/20 08:14:43 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2012/12/20 08:14:43 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2012/12/20 08:14:44 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : Thread Group 
2012/12/20 08:14:44 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group Thread Group. 
2012/12/20 08:14:44 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2012/12/20 08:14:44 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2012/12/20 08:14:44 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2012/12/20 08:14:44 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2012/12/20 08:14:44 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-1 
2012/12/20 08:14:44 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-1 
2012/12/20 08:14:44 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2012/12/20 08:14:44 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
2012/12/20 08:16:20 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2012/12/20 08:16:20 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2012/12/20 08:16:20 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : Thread Group 
2012/12/20 08:16:20 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group Thread Group. 
2012/12/20 08:16:20 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2012/12/20 08:16:20 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2012/12/20 08:16:20 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2012/12/20 08:16:20 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2012/12/20 08:16:20 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-1 
2012/12/20 08:16:20 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-1 
2012/12/20 08:16:20 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2012/12/20 08:16:20 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
2012/12/20 08:16:36 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2012/12/20 08:16:36 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2012/12/20 08:16:36 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : Thread Group 
2012/12/20 08:16:36 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group Thread Group. 
2012/12/20 08:16:36 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2012/12/20 08:16:36 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2012/12/20 08:16:36 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2012/12/20 08:16:36 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2012/12/20 08:16:36 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-1 
2012/12/20 08:16:36 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-1 
2012/12/20 08:16:36 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2012/12/20 08:16:36 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
2012/12/20 08:22:43 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2012/12/20 08:22:43 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2012/12/20 08:22:43 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : Thread Group 
2012/12/20 08:22:43 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group Thread Group. 
