timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1603326420329,2153,HTTP Request,200,OK,Thread Group 1-3,text,true,,215683,118,10,10,https://www.naver.com/,1995,0,1978
1603326420193,2289,HTTP Request,200,OK,Thread Group 1-1,text,true,,222315,118,10,10,https://www.naver.com/,2128,0,2114
1603326420426,2058,HTTP Request,200,OK,Thread Group 1-4,text,true,,230961,118,10,10,https://www.naver.com/,1895,0,1880
1603326420626,1861,HTTP Request,200,OK,Thread Group 1-6,text,true,,227351,118,7,7,https://www.naver.com/,1695,0,1681
1603326420926,1561,HTTP Request,200,OK,Thread Group 1-9,text,true,,227365,118,7,7,https://www.naver.com/,1395,0,1381
1603326420228,2260,HTTP Request,200,OK,Thread Group 1-2,text,true,,234638,118,5,5,https://www.naver.com/,2093,0,2079
1603326420826,1664,HTTP Request,200,OK,Thread Group 1-8,text,true,,237504,118,4,4,https://www.naver.com/,1495,0,1482
1603326421027,1464,HTTP Request,200,OK,Thread Group 1-10,text,true,,242750,118,3,3,https://www.naver.com/,1294,0,1279
1603326420526,1973,HTTP Request,200,OK,Thread Group 1-5,text,true,,223011,118,2,2,https://www.naver.com/,1795,0,1780
1603326420726,1790,HTTP Request,200,OK,Thread Group 1-7,text,true,,197309,118,1,1,https://www.naver.com/,1595,0,1582
