2014/08/27 10:50:57 INFO  - jmeter.util.JMeterUtils: Setting Locale to en_IN 
2014/08/27 10:50:58 INFO  - jmeter.JMeter: Loading user properties from: C:\Abhi\apache-jmeter-2.11\apache-jmeter-2.11\bin\user.properties 
2014/08/27 10:50:58 INFO  - jmeter.JMeter: Loading system properties from: C:\Abhi\apache-jmeter-2.11\apache-jmeter-2.11\bin\system.properties 
2014/08/27 10:50:58 INFO  - jmeter.JMeter: Copyright (c) 1998-2014 The Apache Software Foundation 
2014/08/27 10:50:58 INFO  - jmeter.JMeter: Version 2.11 r1554548 
2014/08/27 10:50:58 INFO  - jmeter.JMeter: java.version=1.7.0_45 
2014/08/27 10:50:58 INFO  - jmeter.JMeter: java.vm.name=Java HotSpot(TM) 64-Bit Server VM 
2014/08/27 10:50:58 INFO  - jmeter.JMeter: os.name=Windows 7 
2014/08/27 10:50:58 INFO  - jmeter.JMeter: os.arch=amd64 
2014/08/27 10:50:58 INFO  - jmeter.JMeter: os.version=6.1 
2014/08/27 10:50:58 INFO  - jmeter.JMeter: file.encoding=Cp1252 
2014/08/27 10:50:58 INFO  - jmeter.JMeter: Default Locale=English (India) 
2014/08/27 10:50:58 INFO  - jmeter.JMeter: JMeter  Locale=English (India) 
2014/08/27 10:50:58 INFO  - jmeter.JMeter: JMeterHome=C:\Abhi\apache-jmeter-2.11\apache-jmeter-2.11 
2014/08/27 10:50:58 INFO  - jmeter.JMeter: user.dir  =C:\Abhi\apache-jmeter-2.11\apache-jmeter-2.11\bin 
2014/08/27 10:50:58 INFO  - jmeter.JMeter: PWD       =C:\Abhi\apache-jmeter-2.11\apache-jmeter-2.11\bin 
2014/08/27 10:50:58 INFO  - jmeter.JMeter: IP: 192.168.0.114 Name: Mini-PC6 FullName: Mini-PC6 
2014/08/27 10:50:58 INFO  - jmeter.JMeter: Loaded icon properties from org/apache/jmeter/images/icon.properties 
2014/08/27 10:50:59 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must contain the string: '.functions.' 
2014/08/27 10:50:59 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must not contain the string: '.gui.' 
2014/08/27 10:51:00 INFO  - jmeter.gui.action.LookAndFeelCommand: Using look and feel: javax.swing.plaf.metal.MetalLookAndFeel [Metal, CrossPlatform] 
2014/08/27 10:51:01 INFO  - jmeter.util.BSFTestElement: Registering JMeter version of JavaScript engine as work-round for BSF-22 
2014/08/27 10:51:02 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Cannot find .className property for htmlParser, using default 
2014/08/27 10:51:02 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/html is  
2014/08/27 10:51:02 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xhtml+xml is  
2014/08/27 10:51:02 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xml is  
2014/08/27 10:51:02 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/xml is  
2014/08/27 10:51:02 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/vnd.wap.wml is org.apache.jmeter.protocol.http.parser.RegexpHTMLParser 
