2014/01/09 03:13:26 INFO  - jmeter.util.JMeterUtils: Setting Locale to en_US 
2014/01/09 03:13:27 INFO  - jmeter.JMeter: Loading user properties from: D:\Workspace\apache-jmeter-2.11\apache-jmeter-2.11\bin\user.properties 
2014/01/09 03:13:27 INFO  - jmeter.JMeter: Loading system properties from: D:\Workspace\apache-jmeter-2.11\apache-jmeter-2.11\bin\system.properties 
2014/01/09 03:13:27 INFO  - jmeter.JMeter: Copyright (c) 1998-2014 The Apache Software Foundation 
2014/01/09 03:13:27 INFO  - jmeter.JMeter: Version 2.11 r1554548 
2014/01/09 03:13:27 INFO  - jmeter.JMeter: java.version=1.6.0_18 
2014/01/09 03:13:27 INFO  - jmeter.JMeter: java.vm.name=Java HotSpot(TM) 64-Bit Server VM 
2014/01/09 03:13:27 INFO  - jmeter.JMeter: os.name=Windows 7 
2014/01/09 03:13:27 INFO  - jmeter.JMeter: os.arch=amd64 
2014/01/09 03:13:27 INFO  - jmeter.JMeter: os.version=6.1 
2014/01/09 03:13:27 INFO  - jmeter.JMeter: file.encoding=Cp1252 
2014/01/09 03:13:27 INFO  - jmeter.JMeter: Default Locale=English (United States) 
2014/01/09 03:13:27 INFO  - jmeter.JMeter: JMeter  Locale=English (United States) 
2014/01/09 03:13:27 INFO  - jmeter.JMeter: JMeterHome=D:\Workspace\apache-jmeter-2.11\apache-jmeter-2.11 
2014/01/09 03:13:27 INFO  - jmeter.JMeter: user.dir  =D:\Workspace\apache-jmeter-2.11\apache-jmeter-2.11\bin 
2014/01/09 03:13:27 INFO  - jmeter.JMeter: PWD       =D:\Workspace\apache-jmeter-2.11\apache-jmeter-2.11\bin 
2014/01/09 03:13:27 INFO  - jmeter.JMeter: IP: 192.168.0.105 Name: BAW7WRMENTA FullName: BAW7WRMENTA.netikllc.netik.com 
2014/01/09 03:13:27 INFO  - jmeter.JMeter: Loaded icon properties from org/apache/jmeter/images/icon.properties 
2014/01/09 03:13:27 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must contain the string: '.functions.' 
2014/01/09 03:13:27 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must not contain the string: '.gui.' 
2014/01/09 03:13:27 INFO  - jmeter.gui.action.LookAndFeelCommand: Using look and feel: com.sun.java.swing.plaf.windows.WindowsClassicLookAndFeel [Windows Classic] 
2014/01/09 03:13:28 INFO  - jmeter.util.BSFTestElement: Registering JMeter version of JavaScript engine as work-round for BSF-22 
2014/01/09 03:13:28 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Cannot find .className property for htmlParser, using default 
2014/01/09 03:13:28 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/html is  
2014/01/09 03:13:28 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xhtml+xml is  
2014/01/09 03:13:28 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xml is  
2014/01/09 03:13:28 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/xml is  
2014/01/09 03:13:28 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/vnd.wap.wml is org.apache.jmeter.protocol.http.parser.RegexpHTMLParser 
2014/01/09 03:13:29 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.protocol.http.control.gui.WebServiceSamplerGui 
2014/01/09 03:13:29 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.protocol.http.modifier.gui.ParamModifierGui 
2014/01/09 03:13:29 INFO  - jorphan.exec.KeyToolUtils: keytool found at 'keytool' 
2014/01/09 03:13:29 WARN  - jmeter.protocol.http.proxy.ProxyControl: HTTP(S) Test Script Recorder SSL Proxy will use keys that may not work for embedded resources in file D:\Workspace\apache-jmeter-2.11\apache-jmeter-2.11\bin\proxyserver.jks 
2014/01/09 03:13:30 INFO  - jmeter.samplers.SampleResult: Note: Sample TimeStamps are START times 
2014/01/09 03:13:30 INFO  - jmeter.samplers.SampleResult: sampleresult.default.encoding is set to ISO-8859-1 
2014/01/09 03:13:30 INFO  - jmeter.samplers.SampleResult: sampleresult.useNanoTime=true 
2014/01/09 03:13:30 INFO  - jmeter.samplers.SampleResult: sampleresult.nanoThreadSleep=5000 
2014/01/09 03:13:59 WARN  - jmeter.protocol.http.proxy.ProxyControl: Could not open expected file or certificate is not valid D:\Workspace\apache-jmeter-2.11\apache-jmeter-2.11\bin\proxyserver.jks D:\Workspace\apache-jmeter-2.11\apache-jmeter-2.11\bin\proxyserver.jks (The system cannot find the file specified) 
2014/01/09 03:13:59 INFO  - jmeter.protocol.http.proxy.ProxyControl: Generating standard keypair in D:\Workspace\apache-jmeter-2.11\apache-jmeter-2.11\bin\proxyserver.jks 
2014/01/09 03:14:00 INFO  - jmeter.protocol.http.proxy.Daemon: Creating Daemon Socket on port: 8090 
2014/01/09 03:14:00 INFO  - jmeter.protocol.http.proxy.Daemon: Test Script Recorder up and running! 
2014/01/09 03:14:35 INFO  - jmeter.protocol.http.proxy.Proxy: Proxy will remove the headers: If-Modified-Since,If-None-Match,Host 
2014/01/09 03:14:35 INFO  - jmeter.protocol.http.sampler.HTTPHCAbstractImpl: Local host = BAW7WRMENTA 
2014/01/09 03:14:35 INFO  - jmeter.protocol.http.sampler.HTTPHC4Impl: HTTP request retry count = 0 
2014/01/09 03:14:35 INFO  - jmeter.protocol.http.sampler.HTTPHC4Impl: Setting up HTTPS TrustAll scheme 
